#NoiseFreeFlow,NoisyFlow,FilteredFlowL1,FilteredFlowLL,Filtered_mixed,FlowGrad,FlowHarm
44,45,0.16238,-0.050433,0.045136,-0.045407,0.072195,-0.063153,0.01272
42,46,0.57748,-0.60599,-0.48036,-0.41915,-0.42295,-0.095789,-0.5102
45,46,-0.85708,-0.49064,-0.774,-0.39257,-0.62188,0.30888,-0.79952
43,47,-0.059278,0.7655,0.19585,0.80109,0.23783,0.60109,0.16441
43,48,1.2796,2.047,0.95921,1.3223,0.81015,1.1336,0.91332
46,48,-0.64961,-0.62638,-1.3459,-0.24872,-1.0651,0.72299,-1.3494
47,48,-0.07305,0.92652,0.40843,0.66203,0.36917,0.53255,0.39397
41,49,0.10731,-0.73908,-0.3775,-0.51142,-0.33863,-0.35745,-0.38164
31,50,-2.6598,-1.3272,-2.0625,-0.641,-1.492,0.74865,-2.0758
49,50,0.93425,1.1205,0.52316,0.2884,0.28505,0.6218,0.49874
32,51,-0.022103,0.73323,1.0285,0.41087,0.72817,-0.27414,1.0074
50,51,-1.3924,-2.3457,-1.7103,-1.2438,-1.259,-0.60101,-1.7447
34,52,1.6501,1.1066,0.93895,0.7849,0.78978,0.20744,0.89915
51,52,-0.81606,0.28236,-0.32425,0.16871,-0.2351,0.6677,-0.38534
41,53,0.75168,-0.31029,0.77967,-0.28428,0.55638,-1.0932,0.78291
49,53,-0.79031,-1.6161,-0.88775,-0.95365,-0.61597,-0.73576,-0.88037
50,54,-0.35485,-0.39481,0.16726,-0.40898,0.040042,-0.56241,0.1676
53,54,0.29014,0.21808,-0.54561,-0.071054,-0.35651,0.79515,-0.57707
51,55,-0.6184,-0.56943,-0.34361,-0.39393,-0.28203,-0.21748,-0.35196
54,55,-0.11897,-0.66555,-0.36643,-0.46597,-0.30489,-0.25607,-0.40947
47,56,0.075076,0.042596,-0.24373,0.17871,-0.17213,0.27216,-0.22956
48,57,0.35582,-1.0836,-0.023844,-0.39624,0.057181,-1.0415,-0.04208
52,58,0.74584,0.53197,0.6118,0.5752,0.5454,0.018158,0.51381
55,59,-0.76038,0.66032,-0.68981,0.2574,-0.56212,1.4217,-0.76143
46,60,0.33286,0.26642,0.066038,0.091694,-0.0059114,0.22678,0.039647
57,60,-0.07384,0.50568,-0.034917,0.33515,0.037626,0.54532,-0.039647
56,61,0.035848,-0.3377,-0.28283,-0.076286,-0.22288,-0.10814,-0.22956
58,61,1.2115,2.1813,0.85275,1.0982,0.70095,1.378,0.80329
59,61,-1.1163,0.27887,-0.45217,0.15035,-0.33196,0.85961,-0.58074
58,62,-0.46226,0.77025,-0.24162,0.51925,-0.16191,1.0597,-0.28948
61,62,-0.24924,-1.2062,-0.88956,-0.47631,-0.69207,-0.31828,-0.88796
